GAMEINIT
  BUILDINGS
    BUILDING_LABEL "E(Building)C(Budova)"
    BUILDING_SYMBOL b

    BUILDING  1 
      NAME "E(Am. depot)C(Am. skladištì)"
      NATION  1 
      KIND  0 
      OIL  0 
      SIBERIUM  0 
      CANS  0 
      TIME  150 
      POWER  0 
      ATTACK  0 
      DEFENSE  90 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 16   -1 -2  0 -2  -1 -1  0 -1  1 -1  -1 0  0 0  1 0  -1 1  0 1  1 1  -1 2  0 2  1 2  0 3  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT u-depot
      UPGRADED_TO  1 
      TECHNOLOGY 0 
    BUILDING  2 
      NAME "E(Am. warehouse)C(Am. velkosklad)"
      NATION  1 
      KIND  1 
      OIL  0 
      SIBERIUM  0 
      CANS  20 
      TIME  60 
      POWER  0 
      ATTACK  0 
      DEFENSE  150 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 16   -1 -2  0 -2  -1 -1  0 -1  1 -1  -1 0  0 0  1 0  -1 1  0 1  1 1  -1 2  0 2  1 2  0 3  1 3
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT u-warehouse
      TECHNOLOGY 0 
    BUILDING  3 
      NAME "E(Am. armoury)C(Am. zbrojnice)"
      NATION  1 
      KIND  4 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  60 
      POWER  0 
      ATTACK  0 
      DEFENSE  75 
      HUMANS  6 
      OBSTACLE  0 
      SHAPE 19   -2 -2  -1 -2  0 -2  -2 -1  -1 -1  0 -1  1 -1  -2 0  -1 0  0 0  1 0  2 0  -1 1  0 1  1 1  2 1  0 2  1 2  2 2
      FLEK_TYPE  2 
      ENTRANCES 3   -1 -3  0 -3  1 -2
      IDENT u-armoury
      UPGRADED_TO  5 
      TECHNOLOGY 0 
    BUILDING  4 
      NAME "E(Am. barracks)C(Am. kasárna)"
      NATION  1 
      KIND  5 
      OIL  0 
      SIBERIUM  0 
      CANS  30 
      TIME  30 
